"log_prob","rule"
-8.92096476456,"CP  _UNK _would _like _UNK LEX"
-10.2952829346,"CP  _like _UNK LEX"
-8.00708657909,"CP  LEX _present _do"
-5.06417431778,"CP  _UNK _present _be _for"
-5.53202425397,"CP  _null _have IP"
-7.21950795341,"CP  _UNK _have IP"
-6.72731640919,"CP  _UNK _might VP"
-5.54046197414,"CP  _null _present _cry"
-7.42001586196,"CP  _UNK _could _do"
-10.2952829346,"CP  _null LEX _start VP"
-2.33397361454,"CP  _UNK IP"
-5.74676708787,"CP  _null _present _allow IP"
-14.438417661,"CP  LEX"
-0.360762862799,"CP  _null IP"
-10.2952829346,"CP  _UNK _past VP"
-6.54970813685,"CP  _UNK _'ll VP"
-5.48284051475,"CP  _null _will _make"
-7.53768699698,"CP  _UNK _should _use"
-4.72772633358,"CP  _null _'ll LEX"
-10.2952829346,"CP  _UNK LEX _know"
-5.66673730202,"CP  _null _present VP"
-7.36599576049,"CP  _null _UNK IP"
-7.09176249785,"CP  _until IP"
-10.2952829346,"CP  _UNK"
-7.60215838375,"CP  LEX _might _like _non-finite"
-7.82503344265,"CP  _null _would _UNK"
-10.2952829346,"CP  LEX _non-finite _UNK"
-5.59249642772,"CP  _UNK _present VP"
-7.74509399276,"CP  _UNK _win"
-6.94343142708,"CP  _UNK _UNK LEX _for"
-2.54485954365,"CP  _null"
-8.36307162994,"CP  _UNK _UNK _start VP"
-7.53768699698,"CP  _that _UNK _do"
-7.47712161512,"CP  _UNK _must VP"
-4.32228143627,"CP  _that IP"
-5.44350071735,"CP  _UNK _UNK VP"
-6.69992953853,"CP  _UNK _would VP"
-9.60213575408,"CP  _that _present VP"
-9.59423057457,"CP  LEX IP"
-6.97850289479,"CP  _UNK _could VP"
-4.42513444267,"CP  _null _might VP"
-10.2952829346,"CP  _UNK _present _do"
-14.438417661,"CP  LEX VP"
-10.2952829346,"CP  _null _UNK VP"
-3.26201443393,"CP  _null _present _be _for"
-4.66931901153,"CP  _null _present LEX PP"
-6.53672670397,"IP  _present _like _non-finite VP"
-14.5922095593,"IP  _UNK _stay PP"
-7.92999966727,"IP  _past _come PP"
-7.58537281168,"IP  _present _be NP"
-7.71119760529,"IP  _past _use IP"
-10.9846757446,"IP  _UNK _know CP"
-6.58234348892,"IP  _present _go _UNK VP"
-11.7051225111,"IP  LEX _get LEX _start _try"
-14.5922095593,"IP  _UNK _write _on"
-9.32267039696,"IP  _would _like _UNK LEX"
-9.93221585915,"IP  _present _bet _null IP"
-14.5922095593,"IP  _non-finite _UNK PP"
-14.5922095593,"IP  _UNK _do"
-4.77183851648,"IP  LEX"
-9.72812657111,"IP  _would _like _UNK VP"
-14.5922095593,"IP  _non-finite LEX LEX"
-9.08224502793,"IP  _present _know CP"
-6.93510072075,"IP  _past LEX LEX"
-7.43794962578,"IP  _will VP"
-7.24260143895,"IP  _non-finite LEX _on"
-9.99048279509,"IP  _present LEX _non-finite VP"
-6.1807480944,"IP  _can VP"
-9.220393285,"IP  _UNK _like _non-finite VP"
-14.5922095593,"IP  _present _write PP"
-6.23304457877,"IP  _'d VP"
-8.50211018837,"IP  _will _have _non-finite VP"
-8.83362548397,"IP  _non-finite LEX _UNK"
-10.0523559748,"IP  _present _go _non-finite _UNK PP"
-8.77856629376,"IP  _past _go LEX"
-5.9352598603,"IP  _present LEX LEX"
-14.5922095593,"IP  _past _say"
-8.96805417653,"IP  _non-finite _UNK _non-finite VP"
-14.5922095593,"IP  _non-finite _UNK"
-8.67947636941,"IP  _present _go IP"
-9.74363033887,"IP  _present _pretend CP"
-14.5922095593,"IP  _would _UNK"
-5.80450535708,"IP  _should LEX"
-4.05527894082,"IP  _non-finite LEX"
-20.2551700394,"IP  LEX IP"
-2.99166067377,"IP  _present VP"
-4.86121040128,"IP  _would VP"
-10.2915756462,"IP  _UNK LEX _go"
-5.93456686,"IP  _will LEX"
-14.5922095593,"IP  _UNK _UNK LEX"
-13.8990623787,"IP  _non-finite _do"
-8.19708709162,"IP  _ca LEX"
-13.4935972706,"IP  LEX LEX"
-14.5922095593,"IP  LEX _stay"
-14.5922095593,"IP  _present IP"
-11.956381645,"IP  _non-finite _draw _UNK PP"
-9.14035181817,"IP  _past _UNK _null IP"
-9.89517578274,"IP  _present _want CP"
-8.68488173707,"IP  _non-finite LEX _with"
-14.5922095593,"IP  LEX _park"
-8.07801140407,"IP  _past _say CP"
-10.8820307772,"IP  _might _like _non-finite"
-7.23430796736,"IP  _present LEX VP"
-14.5922095593,"IP  _present _allow IP"
-7.64104563406,"IP  _present _want _UNK LEX"
-13.8990623787,"IP  LEX _keep PP"
-7.5621782668,"IP  _'d _like _non-finite LEX"
-9.66840889013,"IP  _non-finite LEX VP"
-14.5922095593,"IP  _UNK LEX _over"
-14.5922095593,"IP  _non-finite _open _for"
-4.76611576651,"IP  _UNK"
-14.5922095593,"IP  _UNK _call"
-8.51573868216,"IP  _must VP"
-8.80266359242,"IP  _present _tell _non-finite VP"
-13.4959147688,"IP  _UNK _UNK _UNK VP"
-5.75192743632,"IP  _present _UNK _non-finite VP"
-9.0465981812,"IP  _present _UNK _non-finite LEX"
-9.62582613193,"IP  _would LEX"
-14.5922095593,"IP  LEX _start VP"
-14.5922095593,"IP  _UNK _shoot"
-4.31334890552,"IP  _non-finite VP"
-14.5922095593,"IP  LEX _draw"
-11.651065476,"IP  LEX _knit PP"
-13.4959147688,"IP  _UNK LEX _UNK IP"
-6.92385778004,"IP  _'ll LEX"
-9.53941982545,"IP  _present _think _null _UNK VP"
-14.5922095593,"IP  _UNK LEX _for"
-11.7051225111,"IP  _present _want _UNK _let _play PP"
-9.49580015022,"IP  _can LEX LEX"
-14.5922095593,"IP  LEX _start _try"
-9.72046390296,"IP  _'d _UNK _non-finite VP"
-14.5922095593,"IP  LEX _love"
-9.68300731826,"IP  _non-finite _kiss"
-8.50437005855,"IP  _past LEX VP"
-14.5922095593,"IP  _UNK _let _play PP"
-8.93270314716,"IP  _present LEX IP"
